"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.04.2022","39.623,0","39.726,0","39.849,0","39.312,0","3,33K","-0,25%"
"22.04.2022","39.724,0","40.502,0","40.799,0","39.195,0","4,13K","-1,92%"
"21.04.2022","40.502,0","41.365,0","42.977,0","39.807,0","4,56K","-2,09%"
"20.04.2022","41.366,4","41.516,8","42.195,4","40.905,0","3,73K","-0,36%"
"19.04.2022","41.516,8","40.821,0","41.743,0","40.601,0","2,40K","1,70%"
"18.04.2022","40.821,0","39.707,6","41.123,2","38.557,0","4,99K","2,80%"
"17.04.2022","39.707,6","40.408,7","40.611,0","39.567,0","1,66K","-1,74%"
"16.04.2022","40.408,7","40.587,0","40.717,0","40.033,1","1,49K","-0,44%"
"15.04.2022","40.587,0","39.948,0","40.807,0","39.792,0","2,21K","1,60%"
"14.04.2022","39.948,0","41.155,0","41.510,3","39.604,0","3,17K","-2,93%"
"13.04.2022","41.155,0","40.088,0","41.540,0","39.607,0","4,57K","2,66%"
"12.04.2022","40.087,0","39.565,0","40.649,0","39.300,0","4,11K","1,32%"
"11.04.2022","39.565,0","42.181,0","42.437,0","39.274,0","6,70K","-6,20%"
"10.04.2022","42.181,0","42.780,0","43.460,0","41.933,0","3,03K","-1,40%"
"09.04.2022","42.780,0","42.277,0","42.824,0","42.137,0","1,92K","1,19%"
"08.04.2022","42.277,0","43.458,0","43.984,0","42.137,3","4,35K","-2,72%"
"07.04.2022","43.458,0","43.195,9","43.899,0","42.804,0","2,40K","0,60%"
"06.04.2022","43.199,0","45.481,0","45.515,1","43.162,0","5,84K","-5,02%"
"05.04.2022","45.481,0","46.611,1","47.173,0","45.376,0","2,59K","-2,42%"
"04.04.2022","46.611,1","46.383,0","46.900,0","45.128,0","3,45K","0,49%"
"03.04.2022","46.383,0","45.825,0","47.414,0","45.570,0","3,01K","1,22%"
"02.04.2022","45.825,0","46.301,0","47.216,0","45.640,0","2,27K","-1,03%"
"01.04.2022","46.301,0","45.535,0","46.717,0","44.245,9","3,96K","1,68%"
"31.03.2022","45.535,0","47.035,0","47.665,0","45.224,4","4,66K","-3,19%"
"30.03.2022","47.035,0","47.424,0","47.675,0","46.602,0","4,30K","-0,82%"
"29.03.2022","47.424,0","47.105,0","48.099,0","46.964,0","3,38K","0,68%"
"28.03.2022","47.105,0","46.836,0","48.159,0","46.666,0","6,38K","0,57%"
"27.03.2022","46.836,0","44.536,4","46.862,0","44.440,0","5,65K","5,16%"
"26.03.2022","44.536,4","44.337,0","44.785,0","44.112,7","1,31K","0,45%"
"25.03.2022","44.337,0","44.003,0","45.082,0","43.607,0","4,36K","0,76%"
"24.03.2022","44.003,0","42.885,0","44.221,0","42.670,0","3,78K","2,61%"
"23.03.2022","42.882,0","42.370,0","42.995,0","41.772,0","2,75K","1,21%"
"22.03.2022","42.370,0","41.011,0","43.319,0","40.886,0","5,00K","3,26%"
"21.03.2022","41.031,0","41.264,0","41.535,0","40.544,0","2,62K","-0,53%"
"20.03.2022","41.249,0","42.213,0","42.292,0","40.933,0","1,81K","-2,29%"
"19.03.2022","42.214,0","41.774,0","42.373,0","41.491,0","2,14K","1,05%"
"18.03.2022","41.774,0","40.942,6","42.333,0","40.236,0","3,77K","2,03%"
"17.03.2022","40.942,6","41.148,0","41.451,0","40.553,0","2,29K","-0,50%"
"16.03.2022","41.148,0","39.316,6","41.728,0","38.974,0","8,54K","4,66%"
"15.03.2022","39.317,0","39.717,9","39.886,9","38.212,0","5,30K","-1,01%"
"14.03.2022","39.717,0","37.777,1","39.977,0","37.570,0","8,05K","5,14%"
"13.03.2022","37.777,1","38.816,3","39.314,0","37.592,0","3,42K","-2,68%"
"12.03.2022","38.816,3","38.737,0","39.397,0","38.679,0","1,81K","0,20%"
"11.03.2022","38.737,0","39.458,5","40.228,0","38.236,4","9,57K","-1,83%"
"10.03.2022","39.458,5","41.964,0","42.069,0","38.646,0","6,67K","-5,97%"
"09.03.2022","41.962,3","38.757,0","42.593,0","38.692,5","5,96K","8,27%"
"08.03.2022","38.757,0","38.039,0","39.385,1","37.906,0","5,51K","1,89%"
"07.03.2022","38.039,0","38.437,0","39.559,0","37.198,0","6,78K","-1,04%"
"06.03.2022","38.437,0","39.408,0","39.715,0","38.151,0","3,37K","-2,46%"
"05.03.2022","39.408,0","39.171,0","39.628,0","38.680,0","2,19K","0,61%"
"04.03.2022","39.171,0","42.489,0","42.559,0","38.621,0","6,38K","-7,81%"
"03.03.2022","42.490,0","43.952,0","44.103,0","41.862,0","3,89K","-3,33%"
"02.03.2022","43.952,0","44.442,0","45.326,0","43.386,0","5,57K","-1,10%"
"01.03.2022","44.442,0","43.202,0","44.939,0","42.878,0","6,34K","2,87%"
"28.02.2022","43.202,0","37.734,0","44.198,0","37.502,0","8,45K","14,49%"
"27.02.2022","37.734,0","39.137,1","39.888,0","37.067,1","5,48K","-3,56%"
"26.02.2022","39.125,0","39.243,0","40.274,0","38.633,0","3,59K","-0,30%"
"25.02.2022","39.243,0","38.380,0","39.717,0","38.071,1","6,43K","2,25%"
"24.02.2022","38.380,0","37.292,0","39.716,0","34.435,0","17,88K","2,92%"
"23.02.2022","37.292,0","38.299,0","39.270,0","37.142,0","5,81K","-2,63%"
"22.02.2022","38.299,0","37.060,9","38.475,0","36.404,0","6,20K","3,36%"
"21.02.2022","37.054,0","38.420,0","39.531,0","36.829,0","8,51K","-3,56%"
"20.02.2022","38.420,0","40.128,0","40.164,1","38.071,0","3,53K","-4,29%"
"19.02.2022","40.141,0","40.037,0","40.478,0","39.683,0","1,46K","0,26%"
"18.02.2022","40.037,0","40.559,0","40.983,0","39.571,0","4,68K","-1,28%"
"17.02.2022","40.556,0","43.885,0","44.187,6","40.126,8","6,75K","-7,59%"
"16.02.2022","43.885,0","44.559,9","44.584,0","43.382,0","3,27K","-1,51%"
"15.02.2022","44.559,9","42.559,9","44.762,0","42.467,0","4,11K","4,70%"
"14.02.2022","42.559,9","42.091,0","42.852,0","41.608,0","4,78K","1,11%"
"13.02.2022","42.091,0","42.239,1","42.760,0","41.920,0","1,95K","-0,35%"
"12.02.2022","42.239,1","42.418,0","43.028,0","41.810,0","2,66K","-0,42%"
"11.02.2022","42.418,0","43.545,0","43.965,0","42.053,0","5,61K","-2,59%"
"10.02.2022","43.545,0","44.432,0","45.851,0","43.255,0","7,33K","-2,00%"
"09.02.2022","44.432,0","44.060,5","44.839,6","43.160,0","3,71K","0,84%"
"08.02.2022","44.060,5","43.865,0","45.400,0","42.713,0","7,62K","0,45%"
"07.02.2022","43.865,0","42.416,0","44.500,0","41.715,0","5,52K","3,40%"
"06.02.2022","42.423,0","41.454,0","42.730,0","41.171,0","2,36K","2,34%"
"05.02.2022","41.454,0","41.562,7","41.928,0","40.979,8","2,60K","-0,26%"
"04.02.2022","41.562,7","37.331,0","41.734,0","37.070,0","8,27K","11,34%"
"03.02.2022","37.331,0","36.925,0","37.395,0","36.282,0","5,03K","1,10%"
"02.02.2022","36.925,0","38.733,0","38.877,0","36.660,0","4,19K","-4,67%"
"01.02.2022","38.733,0","38.495,0","39.350,0","38.039,0","4,29K","0,54%"
"31.01.2022","38.526,0","37.914,4","38.772,1","36.683,0","4,77K","1,55%"
"30.01.2022","37.939,0","38.179,9","38.349,0","37.398,0","2,05K","-0,68%"
"29.01.2022","38.197,0","37.759,8","38.696,0","37.347,7","3,55K","1,16%"
"28.01.2022","37.759,8","37.217,0","38.041,0","36.197,0","4,58K","1,46%"
"27.01.2022","37.217,0","36.830,8","37.248,0","35.571,0","6,94K","1,05%"
"26.01.2022","36.830,8","36.986,0","38.901,0","36.301,0","10,65K","-0,44%"
"25.01.2022","36.994,0","36.702,0","37.545,0","35.759,0","8,86K","0,80%"
"24.01.2022","36.702,0","36.308,0","37.460,0","32.981,0","23,10K","1,09%"
"23.01.2022","36.308,0","35.103,0","36.550,0","34.687,3","8,72K","3,43%"
